state,sex,year,population
Melaka,Male,2021,527.4
Melaka,Both,2022,1008.6
Melaka,female,2022,479.8
Melaka,Male,2022,528.8
Melaka,Both,2023,1028.3
Melaka,female,2023,486.4
Melaka,Male,2023,541.9
Melaka,Both,2024,1046.7
Melaka,female,2024,492.6
Melaka,Male,2024,554.1
Melaka,Both,2025,1052.5
Melaka,female,2025,495.8
Melaka,Male,2025,556.7
"Negeri Sembilan",Both,2016,1099.3
"Negeri Sembilan",female,2016,530.2
"Negeri Sembilan",Male,2016,569.1
"Negeri Sembilan",Both,2017,1114
"Negeri Sembilan",female,2017,537.1
"Negeri Sembilan",Male,2017,576.8
"Negeri Sembilan",Both,2018,1122.9
"Negeri Sembilan",female,2018,542.1
"Negeri Sembilan",Male,2018,580.8
"Negeri Sembilan",Both,2019,1126.2
"Negeri Sembilan",female,2019,545.6
"Negeri Sembilan",Male,2019,580.6
"Negeri Sembilan",Both,2020,1200
"Negeri Sembilan",female,2020,576
"Negeri Sembilan",Male,2020,624
"Negeri Sembilan",Both,2021,1204.2
"Negeri Sembilan",female,2021,579.9
"Negeri Sembilan",Male,2021,624.2
"Negeri Sembilan",Both,2022,1207.9
"Negeri Sembilan",female,2022,582.7
"Negeri Sembilan",Male,2022,625.1
"Negeri Sembilan",Both,2023,1224.9
"Negeri Sembilan",female,2023,589.5
"Negeri Sembilan",Male,2023,635.4
"Negeri Sembilan",Both,2024,1239.5
"Negeri Sembilan",female,2024,595.3
"Negeri Sembilan",Male,2024,644.1
"Negeri Sembilan",Both,2025,1244.6
"Negeri Sembilan",female,2025,598.6
"Negeri Sembilan",Male,2025,646
Pahang,Both,2016,1626.7
Pahang,female,2016,759.4
Pahang,Male,2016,867.3
Pahang,Both,2017,1647
Pahang,female,2017,768.9
Pahang,Male,2017,878.2
Pahang,Both,2018,1664.7
Pahang,female,2018,778
Pahang,Male,2018,886.8
Pahang,Both,2019,1671.4
Pahang,female,2019,784.6
Pahang,Male,2019,886.9
Pahang,Both,2020,1591.3
