state,year,sex,population
Kelantan,1972,female,374
Kelantan,1972,male,367
Kelantan,1973,both,760
Kelantan,1973,female,383
Kelantan,1973,male,376
Kelantan,1974,both,777
Kelantan,1974,female,392
Kelantan,1974,male,385
Kelantan,1975,both,796
Kelantan,1975,female,402
Kelantan,1975,male,394
Kelantan,1976,both,814
Kelantan,1976,female,411
Kelantan,1976,male,403
Kelantan,1977,both,834
Kelantan,1977,female,422
Kelantan,1977,male,413
Kelantan,1978,both,852
Kelantan,1978,female,431
Kelantan,1978,male,421
Kelantan,1979,both,874
Kelantan,1979,female,442
Kelantan,1979,male,432
Kelantan,1980,both,896
Kelantan,1980,female,453
Kelantan,1980,male,442
Kelantan,1981,both,920
Kelantan,1981,female,466
Kelantan,1981,male,455
Kelantan,1982,both,947
Kelantan,1982,female,479
Kelantan,1982,male,468
Kelantan,1983,both,975
Kelantan,1983,female,492
Kelantan,1983,male,482
Kelantan,1984,both,1003
Kelantan,1984,female,506
Kelantan,1984,male,496
Kelantan,1985,both,1033
Kelantan,1985,female,521
Kelantan,1985,male,512
Kelantan,1986,both,1063
Kelantan,1986,female,535
Kelantan,1986,male,527
Kelantan,1987,both,1093
Kelantan,1987,female,550
Kelantan,1987,male,544
Kelantan,1988,both,1124
Kelantan,1988,female,564
Kelantan,1988,male,560
Kelantan,1989,both,1154
Kelantan,1989,female,579
Kelantan,1989,male,575
Kelantan,1990,both,1187
Kelantan,1990,female,595
Kelantan,1990,male,592
Kelantan,1991,both,1227
Kelantan,1991,female,622
Kelantan,1991,male,605
Kelantan,1992,both,1244
Kelantan,1992,female,629
Kelantan,1992,male,614
Kelantan,1993,both,1259
Kelantan,1993,female,636
Kelantan,1993,male,623
Kelantan,1994,both,1274
Kelantan,1994,female,642
Kelantan,1994,male,631
Kelantan,1995,both,1288
Kelantan,1995,female,648
Kelantan,1995,male,639
Kelantan,1996,both,1301
Kelantan,1996,female,654
Kelantan,1996,male,647
Kelantan,1997,both,1314
Kelantan,1997,female,660
Kelantan,1997,male,654
Kelantan,1998,both,1329
Kelantan,1998,female,667
Kelantan,1998,male,662
Kelantan,1999,both,1345
Kelantan,1999,female,674
Kelantan,1999,male,671
Kelantan,2000,both,1361
Kelantan,2000,female,682
Kelantan,2000,male,680
